INSTNM,CITY,STABBR,ZIP,COSTT4_A
Ross Medical Education Center-Grand Rapids North,Grand Rapids,MI,49525-2473,NULL
East-West University,Keshena,WI,54135-0279,NULL
American Institute-Somerset,Somerset,NJ,08873-1100,NULL
Platt College-Anaheim,Anaheim,CA,92806-5949,28570
Bull City Durham Beauty and Barber College,Durham,NC,27707-9226,NULL
Fortis College-Cutler Bay,Cutler Bay,FL,33157-7693,30292
Yeshiva Kollel Tifereth Elizer,Brooklyn,NY,11219,NULL
Unitech Training Academy-Baton Rouge,Baton Rouge,LA,70816-4040,NULL
National American University-Garden City,Garden City,KS,67846-6333,NULL
National American University-Watertown,Watertown,SD,57201-9123,NULL
National American University-Career Point College Teachout Site,San Antonio,TX,78201-6549,NULL
Empire Beauty School-Tampa,Tampa,FL,33619-2619,NULL
Empire Beauty School-Lakeland,Lakeland,FL,33809-0514,NULL
Advanced College-Stockton,Stockton,CA,95120-3145,NULL
Galen College of Nursing-ARH,Hazard,KY,41701-9519,NULL
The Chicago School of Professional Psychology at San Diego,San Diego,CA,92101-7903,NULL
Unlimited Cosmetology School,Hattiesburg,MS,39401,NULL
Johnny Matthew's Hairdressing Training School,Salem,OR,97301,NULL
University of Wisconsin-Milwaukee Flex,Milwaukee,WI,53201,NULL
University of Wisconsin-Parkside Flex,Kenosha,WI,53141,NULL
University of Wisconsin Colleges Flex,Madison,WI,53708,NULL
Platt College-Edge Tech Academy,Hurst,TX,76053-3701,NULL
Troy University-Phenix City Campus,Phenix City,AL,368694419,NULL
Troy University-Montgomery Campus,Montgomery,AL,361034419,NULL
Troy University-Dothan Campus,Dothan,AL,363034419,NULL
Troy University-Online,Troy,AL,360825327,NULL
Troy University-Support Locations,Troy,AL,360825327,NULL
Arkansas College of Barbering and Hair Design,Little Rock,AR,722054949,NULL
Harding School of Theology,Memphis,TN,381175499,NULL
Career Academy of Hair Design-Siloam Springs,Siloam Springs,AR,727614217,NULL
Career Academy of Hair Design-Rogers,Rogers,AR,727562102,NULL
Career Academy of Hair Design-Fayetteville,Fayetteville,AR,727014217,NULL
Career Academy of Hair Design - Fort Smith,Fort Smith,AR,729017814,NULL
University of Arkansas Community College at Hope - Texarkana,Texarkana,AR,718541467,NULL
Alliant International University-Fresno,Fresno,CA,937272014,NULL
Alliant International University-Los Angeles,Alhambra,CA,918031221,NULL
Alliant International University-San Francisco,San Francisco,CA,941331221,NULL
Alliant International University-Irvine,Irvine,CA,926061221,NULL
Alliant International University-Sacramento,Sacramento,CA,958331221,NULL
San Jose Campus,San Jose,CA,95131,NULL
Franciscan School of Theology,Oceanside,CA,92057,NULL
Golden Gate University-Los Angeles,Los Angeles,CA,900175418,NULL
Golden Gate University-Seattle,Seattle,WA,981012218,NULL
Golden Gate University-Silicon Valley,Santa Clara,CA,950542218,NULL
Humphreys College-Modesto,Modesto,CA,953560532,NULL
International School of Cosmetology,Costa Mesa,CA,92626,NULL
ATEP at IVC,Tustin,CA,927820223,NULL
Life Pacific College-Ignite,Christiansburg,VA,24073,NULL
Marymount University - Waterfront Campus,San Pedro,CA,907313316,NULL
Marymount California University - Lakeside Campus,Lucerne,CA,954580000,NULL
MiraCosta College - San Elijo Campus,Cardiff,CA,920071516,NULL
Mount Saint Mary's University - Doheny Campus,Los Angeles,CA,90007,NULL
San Diego State University-Imperial Valley Campus,Calexico,CA,92231,NULL
San Joaquin General Hospital School of Radiation Technology,French Camp,CA,95231,NULL
San Joaquin Valley College - Hanford,Hanford,CA,932304523,NULL
San Joaquin Valley College-Online,Visalia,CA,932914523,NULL
San Joaquin Valley College-Bakersfield,Bakersfield,CA,933094523,NULL
San Joaquin Valley College-Fresno,Fresno,CA,937103616,NULL
San Joaquin Valley College-Fresno Aviation,Fresno,CA,937273616,NULL
San Joaquin Valley College-Ontario,Ontario,CA,917643616,NULL
San Joaquin Valley College-Modesto,Salida,CA,953683616,NULL
San Joaquin Valley College-Rancho Cordova,Rancho Cordova,CA,956703616,NULL
San Joaquin Valley College-Hesperia,Hesperia,CA,923443616,NULL
San Joaquin Valley College-Temecula,Temecula,CA,925903616,NULL
San Joaquin Valley College-Lancaster,Lancaster,CA,935347018,NULL
San Joaquin Valley College-San Diego,Chula Vista,CA,919105557,NULL
San Joaquin Valley College - Madera,Madera,CA,936378724,NULL
San Joaquin Valley College - Delano,Delano,CA,932159691,NULL
Jesuit School of Theology of Santa Clara University,Berkeley,CA,94709,NULL
Wright Institute (The) -,Berkeley,CA,947102254,NULL
Colorado Technical University-Denver,Aurora,CO,80014,NULL
Denver Seminary - Washington DC,Landover,MD,207852414,NULL
Porter and Chester Institute of Rocky Hill,Rocky Hill,CT,60671400,NULL
Porter and Chester Institute of Enfield,Enfield,CT,60821400,NULL
Porter and Chester Institute of Waterbury,Waterbury,CT,67051400,NULL
Porter and Chester Institute of Chicopee,Chicopee,MA,10221400,NULL
Porter and Chester Institute of Worcester,Worcester,MA,16061400,NULL
Porter and Chester Institute of Canton,Canton,MA,20212480,NULL
Porter and Chester Institute of Woburn -closed 10/6/2017,Woburn,MA,18011041,NULL
Delaware Technical Community College-Owens,Georgetown,DE,19947,NULL
Delaware Technical Community College-Stanton/Wilmington,Wilmington,DE,19801,NULL
Strayer University-Takoma Park Campus,Washington,DC,20012,NULL
Barry University Law School,Orlando,FL,328073673,NULL
Keiser University-Melbourne,Melbourne,FL,32901,NULL
Keiser University-Tallahassee,Tallahassee,FL,32309,NULL
Keiser University-Daytona,Daytona Beach,FL,32114,NULL
Keiser University-Lakeland,Lakeland,FL,33805,NULL
Keiser University- Miami,Miami,FL,33172,NULL
Keiser University-Orlando,Orlando,FL,32807,NULL
Keiser University-Sarasota,Sarasota,FL,34240,NULL
Keiser University-Jacksonville,Jacksonville,FL,32216,NULL
Keiser University-Tampa,Tampa,FL,33634,NULL
Keiser University-Pembroke Pines,Pembroke Pines,FL,33027,NULL
Keiser University-Port St Lucie,Port St Lucie,FL,34987,NULL
Keiser University-West Palm Beach,West Palm Beach,FL,33411,NULL
Keiser University-Ft Myers,Ft Myers,FL,339050000,NULL
Keiser University -  Clearwater,Clearwater,FL,337640000,NULL
Keiser University - NPR,New Port Richey,FL,346520000,NULL
Keiser University - Residential,West Palm Beach,FL,334090000,NULL
Maynard A. Traviss Career Center - Central Florida Aerospace Academy,Lakeland,FL,338111249,NULL
Rasmussen College-New Port Richey,New Port Richey,FL,346545559,NULL
Rasmussen College-Fort Myers,Fort Myers,FL,339057805,NULL
Rasmussen College-Tampa/Brandon,Tampa,FL,336109558,NULL
Rasmussen College-Land O' Lakes,Land O'Lakes,FL,346389558,NULL
East Georgia State College - Statesboro,Statesboro,GA,304583240,NULL
East Georgia State College - Augusta,Augusta,GA,309124562,NULL
Moody Theological Seminary and Graduate School--Michigan,Plymouth,MI,481704308,NULL
Moody Bible Institute-Spokane,Spokane,WA,992074308,NULL
Saint Anthony College of Nursing - Highland Community College Campus,Freeport,IL,610320000,NULL
Saint Anthony College of Nursing - Sauk Valley Community College Campus,Dixon,IL,610219112,NULL
Triton College - Intl Union of Operating Engr Local 399 Trning Fac.,Chicago,IL,606161823,NULL
PJ's College of Cosmetology- Brownsburg,Brownsburg,IN,461121462,NULL
PJ's College of Cosmetology-Crestwood,Crestwood,KY,400149323,NULL
PJ's College of Cosmetology- Jeffersonville,Jeffersonville,IN,471306290,NULL
Ivy Tech Community College-Northcentral,South Bend,IN,466013415,NULL
Ivy Tech Community College-Columbus,Columbus,IN,472031868,NULL
Ivy Tech Community College-East Central,Muncie,IN,473029448,NULL
Ivy Tech Community College-Kokomo,Kokomo,IN,469011373,NULL
Ivy Tech Community College-Lafayette,Lafayette,IN,479051373,NULL
Ivy Tech Community College-Northeast,Fort Wayne,IN,468051489,NULL
Ivy Tech Community College-South Central,Sellersburg,IN,471721897,NULL
Ivy Tech Community College-Southwest,Evansville,IN,477103398,NULL
Ivy Tech Community College-Wabash Valley,Terre Haute,IN,478024898,NULL
Ivy Tech Community College-Richmond,Richmond,IN,473741298,NULL
Ivy Tech Community College-Northwest,Gary,IN,464091499,NULL
Ivy Tech Community College-Southeast,Madison,IN,472501881,NULL
Ivy Tech Community College-Bloomington,Bloomington,IN,474049272,NULL
Ivy Tech Community College-Central Indiana,Indianapolis,IN,462089272,NULL
Harrison College-Anderson,Anderson,IN,460131843,NULL
Harrison College-Columbus,Columbus,IN,472031843,NULL
Harrison College-Terre Haute,Terre Haute,IN,478031843,NULL
Harrison College-Lafayette,Lafayette,IN,479011843,NULL
Harrison College-Indianapolis East,Indianapolis,IN,462391843,NULL
Harrison College-Evansville,Evansville,IN,477154601,NULL
Harrison College-Fort Wayne,Fort Wayne,IN,468254911,NULL
Harrison College-Northwest,Indianapolis,IN,462784911,NULL
Harrison College-Elkhart,Elkhart,IN,465164911,NULL
University of Notre Dame -,Chicago,IL,606042535,NULL
Graceland University - Independence,Independence,MO,640503434,NULL
Baker University School of Nursing,Topeka,KS,666041353,NULL
Baker University School of Professional and Graduate Studies and Graduate School of Education,Overland Park,KS,662101937,NULL
Coffeyville Technical Campus,Coffeyville,KS,673375064,NULL
Columbus Technical Campus,Columbus,KS,667255064,NULL
Bellarmine University - Bullitt County,Shepherdsville,KY,401656122,NULL
Bellarmine University - Oldham County,Crestwood,KY,400149531,NULL
PJ's College of Cosmetology- Greenfield,Greenfield,IN,46140,NULL
PJ's College of Cosmetology- Muncie,Muncie,IN,47304,NULL
PJ's College of Cosmetology- Indianapolis,Indianapolis,IN,462033120,NULL
PJ's College of Cosmetology- Plainfield,Plainfield,IN,46168,NULL
PJ's College of Cosmetology- Louisville,Louisville,KY,402333120,NULL
Southeastern Louisiana University - EBR Parish School System Prof Dev,Baton Rouge,LA,708145322,NULL
Southeastern Louisiana University - St Amant High School,St Amant,LA,707743413,NULL
Empire Beauty School-Bangor,Bangor,ME,4401,NULL
Aesthetics Institute of Cosmetology - Winchester,Winchester,VA,226015914,NULL
Cecil College - Elkton Station,Elkton,MD,219215535,NULL
Baker College of Owosso,Owosso,MI,488679600,NULL
Baker College of Allen Park,Allen Park,MI,481019600,NULL
Baker College of Auburn Hills,Auburn Hills,MI,483269600,NULL
Baker College of Cadillac,Cadillac,MI,496019600,NULL
Baker College of Clinton Township,Clinton Township,MI,480359600,NULL
Baker College of Jackson,Jackson,MI,492021290,NULL
Baker College of Muskegon,Muskegon,MI,494421290,NULL
Baker College of Port Huron,Port Huron,MI,480601290,NULL
Baker College Center for Graduate Studies,Flint,MI,485071290,NULL
Davenport University-Warren Location,Warren,MI,480925209,NULL
Davenport University-Kalamazoo Location,Kalamazoo,MI,490034070,NULL
Davenport University-Lansing Location,Lansing,MI,489332197,NULL
Davenport University-Midland Location,Midland,MI,486423799,NULL
Davenport University-Holland Location,Holland,MI,494239121,NULL
Davenport University-Flint Location,Fenton,MI,48503,NULL
Davenport University-Traverse City Location,Traverse City,MI,496849121,NULL
Davenport University-Livonia Location,Livonia,MI,481529069,NULL
Davenport University-Grand Rapids Downtown,Grand Rapids,MI,495039121,NULL
Davenport University - Treasury Site Dimondale,Dimondale,MI,488215004,NULL
Davenport University - Wayne CCCD,Belleville,MI,481111404,NULL
Davenport University - Macomb CC,Clinton Township,MI,480381139,NULL
Davenport University - Schoolcraft College,Livonia,MI,481523932,NULL
Anoka-Ramsey Community College-Cambridge Campus,Cambridge,MN,550085704,NULL
Central Lakes College-Staples Campus,Staples,MN,564793252,NULL
M State - Detroit Lakes Campus,Detroit Lakes,MN,565012698,NULL
M State - Moorhead Campus,Moorhead,MN,565604899,NULL
M State - Wadena Campus,Wadena,MN,564820566,NULL
South Central College-Faribault,Faribault,MN,550215782,NULL
Mesabi Range College,Eveleth,MN,55734,NULL
Northland Community and Technical College - East Grand Forks,East Grand Forks,MN,56721,NULL
Rasmussen College-Bloomington,Bloomington,MN,554355444,NULL
Rasmussen College-Eagan,Eagan,MN,551221346,NULL
Rasmussen College-Mankato,Mankato,MN,560015476,NULL
Rasmussen College-Brooklyn Park,Brooklyn Park,MN,554458658,NULL
Rasmussen College-Lake Elmo/Woodbury,Lake Elmo,MN,550428624,NULL
Rasmussen College-Blaine,Blaine,MN,550148624,NULL
Minnesota State CollegeSoutheast-Red Wing Campus,Red Wing,MN,55066,NULL
Copiah-Lincoln Community College Simpson County Center,Mendenhall,MS,39114,NULL
Copiah-Lincoln Community College-Natchez Campus,Natchez,MS,39120,NULL
University of Mississippi Medical Center,Jackson,MS,392164505,NULL
Pearl River Community College-Forrest County Center,Hattiesburg,MS,39401,NULL
Columbia College - Redstone Arsenal,Redstone Arsenal,AL,358985192,NULL
Columbia College - Coast Guard Island,Alameda,CA,945015100,NULL
Columbia College - Denver,Centennial,CO,801121464,NULL
Columbia College - NAS Jacksonville,Jacksonville,FL,322120137,NULL
Columbia College - Orlando,Orlando,FL,328042606,NULL
Columbia College - Crystal Lake Campus,Crystal Lake,IL,600123709,NULL
Columbia College - Kansas City,Kansas City,MO,641331707,NULL
Columbia College - Fort Leonard Wood,Fort Leonard Wood,MO,654731707,NULL
Columbia College - Jefferson City,Jefferson City,MO,651096877,NULL
Columbia College - Lake Ozark,Osage Beach,MO,650659677,NULL
Columbia College - Saint Louis,Saint Louis,MO,631343701,NULL
Columbia College - Fort Worth,Fort Worth,TX,761271188,NULL
Columbia College - Salt Lake,Murray,UT,841075322,NULL
Columbia College - Lake County,Gurnee,IL,600319184,NULL
Columbia College - Naval Station Everett/Marysville,Marysville,WA,982717854,NULL
Columbia College - Freeport,Freeport,IL,610329341,NULL
Columbia College - Springfield,Springfield,MO,658044378,NULL
Columbia College - Rolla,Rolla,MO,654011701,NULL
Columbia College - Los Alamitos,Los Alamitos,CA,907205177,NULL
Columbia College - Patrick AFB,Patrick Air Force Base,FL,329252901,NULL
Columbia College - Lemoore,NAS Lemoore,CA,932460001,NULL
Columbia College - San Luis Obispo,San Luis Obispo,CA,934038106,NULL
Columbia College - Fort Stewart,Ft. Stewart,GA,313145056,NULL
Columbia College - Hunter Army Airfield,Hunter Army Airfield,GA,314090029,NULL
Columbia College - Elgin,Elgin,IL,601237193,NULL
Columbia College - Hancock Field,Syracuse,NY,132112100,NULL
Columbia College - Whidbey Island,Oak Harbor,WA,982781000,NULL
Columbia College - Fort Drum,Ft. Drum,NY,136025203,NULL
Columbia College -  Jacksonville,Jacksonville,FL,322166010,NULL
Columbia College - Fort Sill,Fort Sill,OK,735039009,NULL
Columbia College - San Diego,San Diego,CA,921405290,NULL
Columbia College - Mesquite,Mesquite,TX,751502033,NULL
Evangel University - Assemblies of God Theological Seminary,Springfield,MO,658022131,NULL
Lindenwood University-Belleville,Belleville,IL,62226,NULL
City College Montana State University Billings,Billings,MT,591029856,NULL
The University of Montana - Missoula College,Missoula,MT,59802,NULL
New Hampshire Institute for Therapeutic Arts,Bridgton,ME,4009,NULL
American Institute,Clifton,NJ,70112379,NULL
Monmouth University -  Monmouth Park Corporate Center,West Long Branch,NJ,77641898,NULL
Olympian Academy of Cosmetology - International Academy of Hair Design,Phoenix,AZ,850335344,NULL
Bard College - Holyoke Microcollege,Holyoke,MA,10403927,NULL
Berkeley College - Westchester Campus,White Plains,NY,10601,NULL
Briarcliffe College-Bohemia,Bohemia,NY,11716,NULL
Culinary Institute of America at Greystone,St. Helena,CA,94574,NULL
Culinary Institute of America San Antonio,San Antonio,TX,78215,NULL
Jamestown Business College -,Salamanca,NY,147799740,NULL
Pratt Manhattan-A Division of Pratt Institute,New York,NY,10011,NULL
Saint Elizabeth College of Nursing,Utica,NY,13501,NULL
Gaston College,Lincolnton,NC,280930000,NULL
Hebrew Union College-Jewish Institute of Religion-Cincinnati,Cincinnati,OH,452203796,NULL
Hebrew Union College-Jewish Institute of Religion-Los Angeles,Los Angeles,CA,900073796,NULL
Kettering College - Ollie Davis Medical Arts and Education Center,Beavercreek,OH,454403442,NULL
Mount Carmel College of Nursing - Fairfield,Lancaster,OH,431303372,NULL
Los Angeles Center,Los Angeles,CA,900451746,NULL
Florida Center,Hollywood,FL,330211746,NULL
Sacramento Center,Sacramento,CA,958341746,NULL
New England Center,Brattleboro,VT,53013669,NULL
Winebrenner Theological Seminary -,Scotland,PA,172540473,NULL
University of Oklahoma - Douglass Learning Center,Lawton,OK,735013025,NULL
University of Oklahoma - Ft. Benning GA - AP,Ft Benning,GA,319055593,NULL
Western Seminary-San Jose,Milpitas,CA,95035,NULL
Western Seminary-Sacramento,Rocklin,CA,95765,NULL
The Beauty Institute,Philadelphia,PA,19115,NULL
Bucks County Community College-Upper Bucks Campus,Perkasie,PA,189440277,NULL
Bucks County Community College-Lower Bucks Campus,Bristol,PA,190070277,NULL
Harrisburg Area Community College-Lancaster,Lancaster,PA,176023403,NULL
Harrisburg Area Community College-Gettysburg,Gettysburg,PA,173253403,NULL
Harrisburg Area Community College-Lebanon,Lebanon,PA,170425235,NULL
Harrisburg Area Community College-York,York,PA,174045235,NULL
New Castle School of Trades,Pulaski,PA,161432522,NULL
New Castle School of Trades - East Liverpool Campus,East Liverpool,OH,439203025,NULL
Northampton County Area Community College-Monroe,Tannersville,PA,18372,NULL
Villanova University - Summer Music Studies Program,Villanova,PA,190853699,NULL
